ファイル名,引数,required
check_score_ave.py,year,required=True
check_score_ave.py,season,required=True
check_score_ave.py,player_id,required=True
check_score_ave_ALL.py,year,required=True
check_score_ave_ALL.py,season,required=True
check_score_ave_ALL.py,--all_year,required=False
list_player_in_final.py,--player,required=True
list_player_in_final.py,--year,required=True
list_player_in_final.py,--season,required=True
show_player_term.py,--player,required=True
show_player_term.py,--year,required=True
show_player_term.py,--season,required=True
check_finals.py,--year,required=True
check_display_run.py,--date_from,required=True
check_display_run.py,--date_to,required=True
odds_snapshot_audit.py, --thin,False
odds_snapshot_audit.py,--date-from,False
odds_snapshot_audit.py,--date-to,False
update_is_prefinal.py,--year,required=True
import_Fan.py,tag,required=False
import_Fan.py,--overwrite,required=False
DL_player_img.py,--overwrite,required=False
DL_player_img.py,--sleep,required=False
DL_player_img.py,player_id,required=False
insert_newcomer.py,--rp,required=True
insert_newcomer.py,--from,required=True
insert_newcomer.py,--to,required=True
insert_newcomer.py,--sleep,required=False
ETL_K_results.py,--date_from,required=False
ETL_K_results.py,--date_to,required=False
ETL_K_results.py,--overwrite,required=False
ETL_K_results.py,--no_grade,required=False
ETL_K_results.py,--external,required=False
ETL_K_results.py,--DL_only,required=False
upsert_Grade.py,--year,required=False
upsert_Grade.py,--overwrite,required=False
check_series_title.py,--year,required=True
check_series_title.py,--exec,required=False
import_B_txt.py,--date,required=False
import_B_txt.py,--date_from,required=False
import_B_txt.py,--date_to,required=False
import_B_txt.py,--overwrite,required=False
make_grade_txt.py,--year,required=True
daily_insert.py,--date,required=False
daily_insert.py,--date_from,required=False
daily_insert.py,--date_to,required=False
daily_insert.py,--overwrite,required=False
delete_data.py,--enable_K,required=False
delete_data.py,--enable_B,required=False
delete_data.py,--date_from,required=False
delete_data.py,--date_to,required=False
import_Display_run.py,--date,required=True
import_Display_run.py,--venue,required=False
import_Display_run.py,--race,required=False
import_Display_run.py,--ALL_venue,required=False
import_Display_run.py,--ALL_race,required=False
import_result_today.py,--date,required=True
import_result_today.py,--venue,required=False
import_result_today.py,--race,required=False
import_result_today.py,--ALL_venue,required=False
import_result_today.py,--ALL_race,required=False
ETL_import_Display_run.py,--date,required=False
ETL_import_Display_run.py,--date_from,required=False
ETL_import_Display_run.py,--date_to,required=False
get_today_info.py,flag,required=True
get_today_info.py,--date,required=True
get_today_info.py,--venue,required=False
get_today_info.py,--first,required=False
summarize_today.py,--date,required=False
odds_window.py,--date,required=True
odds_window.py,--venue,required=True
odds_window.py,--race,required=True
